import time: self [us] | cumulative | imported package
import time:      7470 |      16936 |                       numpy.compat
import time:      9011 |       9011 |                       numpy.core._dtype
import time:      7368 |      33313 |                     numpy.core._type_aliases
import time:      6434 |      43664 |                   numpy.core.numerictypes
import time:      3797 |       3797 |                           numpy.core._ufunc_config
import time:      6306 |      10102 |                         numpy.core._methods
import time:      9510 |      19611 |                       numpy.core.fromnumeric
import time:      6257 |      25868 |                     numpy.core.shape_base
import time:      8232 |       8232 |                     numpy.core.arrayprint
import time:      3112 |       3112 |                     numpy.core._asarray
import time:     15356 |      52566 |                   numpy.core.numeric
import time:     10572 |      10572 |                   numpy.core.defchararray
import time:      5590 |       5590 |                   numpy.core.records
import time:     10581 |      10581 |                   numpy.core.memmap
import time:     16643 |      16643 |                   numpy.core.function_base
import time:      6659 |       6659 |                   numpy.core._machar
import time:      6560 |       6560 |                   numpy.core.getlimits
import time:      6507 |       6507 |                   numpy.core.einsumfunc
import time:      3794 |       3794 |                     numpy.core._multiarray_tests
import time:     12667 |      16460 |                   numpy.core._add_newdocs
import time:      8198 |       8198 |                   numpy.core._add_newdocs_scalars
import time:      3716 |       3716 |                   numpy.core._dtype_ctypes
import time:      7260 |       7260 |                   numpy.core._internal
import time:      5817 |       5817 |                   numpy._pytesttester
import time:     10811 |     301591 |                 numpy.core
import time:       357 |     301948 |               numpy.core._multiarray_umath
import time:      7532 |     309479 |             numpy.__config__
import time:      7609 |       7609 |               numpy.lib.mixins
import time:      3930 |       3930 |                   numpy.lib.ufunclike
import time:      5087 |       9016 |                 numpy.lib.type_check
import time:      8029 |      17044 |               numpy.lib.scimath
import time:      3545 |       3545 |                           numpy.lib.stride_tricks
import time:      6050 |       9594 |                         numpy.lib.twodim_base
import time:      5458 |       5458 |                         numpy.linalg._umath_linalg
import time:      4240 |       4240 |                           numpy._typing._nested_sequence
import time:      4409 |       4409 |                           numpy._typing._nbit
import time:     11001 |      11001 |                           numpy._typing._char_codes
import time:     13860 |      13860 |                           numpy._typing._scalars
import time:      4012 |       4012 |                           numpy._typing._shape
import time:     24617 |      24617 |                           numpy._typing._dtype_like
import time:     20184 |      20184 |                           numpy._typing._array_like
import time:      8687 |      91006 |                         numpy._typing
import time:     12010 |     118067 |                       numpy.linalg.linalg
import time:      3530 |     121596 |                     numpy.linalg
import time:      6691 |     128287 |                   numpy.matrixlib.defmatrix
import time:      6698 |     134985 |                 numpy.matrixlib
import time:      4591 |       4591 |                   numpy.lib.histograms
import time:     18553 |      23143 |                 numpy.lib.function_base
import time:      7739 |     165866 |               numpy.lib.index_tricks
import time:      7220 |       7220 |               numpy.lib.nanfunctions
import time:      5395 |       5395 |               numpy.lib.shape_base
import time:      9330 |       9330 |               numpy.lib.polynomial
import time:     14193 |      14193 |               numpy.lib.utils
import time:      5008 |       5008 |               numpy.lib.arraysetops
import time:      3862 |       3862 |                 numpy.lib.format
import time:      3855 |       3855 |                 numpy.lib._datasource
import time:      9074 |       9074 |                 numpy.lib._iotools
import time:      9165 |      25955 |               numpy.lib.npyio
import time:      4035 |       4035 |               numpy.lib.arrayterator
import time:      6237 |       6237 |               numpy.lib.arraypad
import time:      6186 |       6186 |               numpy.lib._version
import time:      8583 |     282656 |             numpy.lib
import time:      7052 |       7052 |                 numpy.fft._pocketfft_internal
import time:      7949 |      15001 |               numpy.fft._pocketfft
import time:      4601 |       4601 |               numpy.fft.helper
import time:      4018 |      23620 |             numpy.fft
import time:      8449 |       8449 |                 numpy.polynomial.polyutils
import time:      9404 |       9404 |                 numpy.polynomial._polybase
import time:     10699 |      28551 |               numpy.polynomial.polynomial
import time:      7209 |       7209 |               numpy.polynomial.chebyshev
import time:      9908 |       9908 |               numpy.polynomial.legendre
import time:      7863 |       7863 |               numpy.polynomial.hermite
import time:      5761 |       5761 |               numpy.polynomial.hermite_e
import time:      6809 |       6809 |               numpy.polynomial.laguerre
import time:      5585 |      71685 |             numpy.polynomial
import time:      3913 |       3913 |                       backports_abc
import time:      8067 |      11980 |                     numpy.random._common
import time:     17266 |      29245 |                   numpy.random.bit_generator
import time:      4058 |       4058 |                   numpy.random._bounded_integers
import time:      4271 |       4271 |                   numpy.random._mt19937
import time:      9797 |      47369 |                 numpy.random.mtrand
import time:      7125 |       7125 |                 numpy.random._philox
import time:      8556 |       8556 |                 numpy.random._pcg64
import time:      5942 |       5942 |                 numpy.random._sfc64
import time:      9848 |       9848 |                 numpy.random._generator
import time:     12702 |      91540 |               numpy.random._pickle
import time:      6948 |      98488 |             numpy.random
import time:      6494 |       6494 |             numpy.ctypeslib
import time:     24428 |      24428 |               numpy.ma.core
import time:     17104 |      17104 |               numpy.ma.extras
import time:      5340 |      46870 |             numpy.ma
import time:     15208 |     883717 |           numpy
import time:     10062 |     893778 |         core.hardware.compute_matrix
import time:      9666 |       9666 |         core.version
import time:     17824 |    5085250 |       core
import time:       146 |    5085396 |     core.autonomous
import time:       202 |    5085598 |   core.autonomous.desktop_interaction
import time:      4442 |       4442 |     services
import time:      1803 |       1803 |       core.perception
import time:      9217 |      11019 |     core.perception.visual_sampler
import time:      9881 |       9881 |     core.perception.perceptual_memory
import time:      5728 |       5728 |     core.perception.attention_controller
import time:     10449 |      10449 |     core.sync.realtime_sync
import time:     22079 |      22079 |         system.hardware_probe
INFO:system.cluster_manager:多維精度小數點記憶化存儲已初始化
import time:     30274 |      30274 |           system.cluster_manager
import time:     19723 |      49997 |         system.deployment_manager
import time:      5440 |       5440 |         system.integrated_graphics_optimizer
import time:      4657 |      82171 |       system
import time:       174 |      82345 |     system.cluster_manager
import time:      6436 |     130298 |   services.vision_service
import time:     11647 |      11647 |     wave
import time:      7854 |       7854 |     core.perception.auditory_sampler
import time:     10762 |      10762 |     core.perception.auditory_memory
import time:      4384 |       4384 |     core.perception.auditory_attention
import time:      6485 |      41130 |   services.audio_service
import time:     19728 |      19728 |     core.perception.tactile_sampler
import time:      3912 |       3912 |     core.perception.tactile_memory
import time:      8402 |      32041 |   services.tactile_service
import time:      4028 |       4028 |   services.chat_service
import time:      5018 |       5018 |           ai
import time:      6785 |      11803 |         ai.memory
import time:      4469 |      16272 |       ai.memory.ham_memory
import time:      4574 |       4574 |           cryptography.__about__
import time:      6285 |      10858 |         cryptography
import time:      6150 |       6150 |         cryptography.utils
import time:      3241 |       3241 |               cryptography.hazmat
import time:      4050 |       7291 |             cryptography.hazmat.bindings
import time:      8793 |       8793 |             _cffi_backend
import time:     21996 |      38080 |           cryptography.hazmat.bindings._rust
import time:      5543 |      43623 |         cryptography.exceptions
import time:      4688 |       4688 |         cryptography.hazmat.primitives
import time:      8329 |       8329 |         cryptography.hazmat.primitives.hashes
import time:      3597 |       3597 |         cryptography.hazmat.primitives.padding
import time:      6266 |       6266 |           cryptography.hazmat.primitives._cipheralgorithm
import time:      4106 |       4106 |                     cryptography.hazmat.decrepit
import time:      3925 |       8030 |                   cryptography.hazmat.decrepit.ciphers
import time:      7508 |      15538 |                 cryptography.hazmat.decrepit.ciphers.algorithms
import time:      8559 |      24096 |               cryptography.hazmat.primitives.ciphers.algorithms
import time:      5461 |      29556 |             cryptography.hazmat.primitives.ciphers.modes
import time:      5792 |      35348 |           cryptography.hazmat.primitives.ciphers.base
import time:      4762 |      46375 |         cryptography.hazmat.primitives.ciphers
import time:      3311 |       3311 |         cryptography.hazmat.primitives.hmac
import time:      4136 |     131062 |       cryptography.fernet
import time:      5347 |       5347 |       ai.memory.ham_memory.ham_types
import time:      8202 |       8202 |       ai.memory.ham_memory.ham_core_storage
import time:      5377 |       5377 |       ai.memory.ham_memory.ham_data_processor
import time:      5389 |       5389 |                     numpy._typing._add_docstring
import time:      6388 |      11777 |                   numpy.typing
import time:      5087 |       5087 |                       overrides.enforce
import time:      5963 |       5963 |                           overrides.typing_utils
import time:      4645 |      10607 |                         overrides.signature
import time:      7375 |      17982 |                       overrides.overrides
import time:      5729 |      28796 |                     overrides
import time:     97366 |     126162 |                   chromadb.errors
import time:     13259 |      13259 |                   chromadb.base_types
import time:       625 |        625 |                   chromadb.is_thin_client
import time:      8621 |       8621 |                     tenacity._utils
import time:     28600 |      28600 |                     tenacity.retry
import time:      5183 |       5183 |                     tenacity.nap
import time:      5774 |       5774 |                     tenacity.stop
import time:      8591 |       8591 |                     tenacity.wait
import time:      4327 |       4327 |                     tenacity.before
import time:      3284 |       3284 |                     tenacity.after
import time:      4376 |       4376 |                     tenacity.before_sleep
import time:      2585 |       2585 |                     tornado
import time:      7574 |       7574 |                       tenacity.asyncio.retry
import time:      6844 |      14418 |                     tenacity.asyncio
import time:     16392 |     102146 |                   tenacity
import time:      4456 |       4456 |                     pybase64._license
import time:      5291 |       5291 |                     pybase64._version
import time:      4770 |       4770 |                     pybase64._pybase64
import time:      4861 |      19376 |                   pybase64
import time:    109355 |     382697 |                 chromadb.api.types
import time:      5482 |       5482 |                   chromadb.execution
import time:      8248 |       8248 |                         chromadb.serde
import time:     33741 |      41989 |                       chromadb.api.configuration
import time:      3607 |       3607 |                           chromadb.utils
import time:      4219 |       4219 |                                       pprint
import time:      4596 |       4596 |                                         attrs.converters
import time:      2670 |       2670 |                                         attrs.exceptions
import time:      3370 |       3370 |                                         attrs.filters
import time:      7290 |       7290 |                                         attrs.setters
import time:      3446 |       3446 |                                         attrs.validators
import time:      9120 |      30491 |                                       attrs
import time:     17665 |      17665 |                                               rpds.rpds
import time:      7970 |      25635 |                                             rpds
import time:      4149 |       4149 |                                               referencing._attrs
import time:     26319 |      30468 |                                             referencing.exceptions
import time:      5441 |       5441 |                                             referencing.typing
import time:     44806 |     106348 |                                           referencing._core
import time:      5843 |     112191 |                                         referencing
import time:       948 |     113139 |                                       referencing.exceptions
import time:      4143 |       4143 |                                       jsonschema._utils
import time:     10189 |     162180 |                                     jsonschema.exceptions
import time:      9547 |       9547 |                                     fqdn
import time:      2131 |       2131 |                                     rfc3987
import time:      3214 |       3214 |                                     rfc3986_validator
import time:      9136 |       9136 |                                     rfc3987_syntax
import time:      2834 |       2834 |                                     rfc3339_validator
import time:      2339 |       2339 |                                     webcolors
import time:     10564 |      10564 |                                     jsonpointer
import time:      2572 |       2572 |                                     uri_template
import time:      2022 |       2022 |                                     isoduration
import time:     11633 |     218167 |                                   jsonschema._format
import time:     11866 |      11866 |                                   jsonschema._types
import time:     15273 |      15273 |                                       referencing.jsonschema
import time:      5610 |       5610 |                                       jsonschema_specifications._core
import time:      4231 |       4231 |                                           importlib.resources._itertools
import time:      9752 |      13983 |                                         importlib.resources.readers
import time:      5906 |      19888 |                                       importlib.readers
import time:    133137 |     173907 |                                     jsonschema_specifications
import time:     11609 |      11609 |                                     jsonschema._keywords
import time:      7820 |       7820 |                                     jsonschema._legacy_keywords
import time:      6160 |       6160 |                                       jsonschema.protocols
import time:      6710 |      12870 |                                     jsonschema._typing
import time:    105368 |     311573 |                                   jsonschema.validators
import time:      5649 |     547254 |                                 jsonschema
import time:      8888 |     556142 |                               chromadb.utils.embedding_functions.schemas.schema_utils
import time:      7643 |       7643 |                               chromadb.utils.embedding_functions.schemas.registry
import time:      4527 |     568311 |                             chromadb.utils.embedding_functions.schemas
import time:      7314 |     575624 |                           chromadb.utils.embedding_functions.cohere_embedding_function
import time:      8300 |       8300 |                           chromadb.utils.embedding_functions.openai_embedding_function
import time:     16071 |      16071 |                           chromadb.utils.embedding_functions.huggingface_embedding_function
import time:      8010 |       8010 |                           chromadb.utils.embedding_functions.sentence_transformer_embedding_function
import time:     14331 |      14331 |                           chromadb.utils.embedding_functions.google_embedding_function
import time:     13306 |      13306 |                           chromadb.utils.embedding_functions.ollama_embedding_function
import time:     16588 |      16588 |                           chromadb.utils.embedding_functions.instructor_embedding_function
import time:      8011 |       8011 |                           chromadb.utils.embedding_functions.jina_embedding_function
import time:      9960 |       9960 |                           chromadb.utils.embedding_functions.voyageai_embedding_function
import time:     13055 |      13055 |                               pwd
import time:     14884 |      14884 |                               grp
import time:     19565 |      47503 |                             tarfile
import time:     13491 |      60994 |                           chromadb.utils.embedding_functions.onnx_mini_lm_l6_v2
import time:      8710 |       8710 |                           chromadb.utils.embedding_functions.open_clip_embedding_function
import time:     12607 |      12607 |                           chromadb.utils.embedding_functions.roboflow_embedding_function
import time:     14312 |      14312 |                           chromadb.utils.embedding_functions.text2vec_embedding_function
import time:     43836 |      43836 |                           chromadb.utils.embedding_functions.amazon_bedrock_embedding_function
import time:     25983 |      25983 |                           chromadb.utils.embedding_functions.chroma_langchain_embedding_function
import time:     30803 |      30803 |                           chromadb.utils.embedding_functions.baseten_embedding_function
import time:      6743 |       6743 |                           chromadb.utils.embedding_functions.cloudflare_workers_ai_embedding_function
import time:      9134 |       9134 |                           chromadb.utils.embedding_functions.together_ai_embedding_function
import time:      5618 |       5618 |                           chromadb.utils.embedding_functions.mistral_embedding_function
import time:      8105 |       8105 |                           chromadb.utils.embedding_functions.morph_embedding_function
import time:     17423 |      17423 |                           chromadb.utils.embedding_functions.nomic_embedding_function
import time:      8395 |       8395 |                             chromadb.utils.sparse_embedding_utils
import time:     10201 |      18596 |                           chromadb.utils.embedding_functions.huggingface_sparse_embedding_function
import time:     15492 |      15492 |                           chromadb.utils.embedding_functions.fastembed_sparse_embedding_function
import time:      8536 |       8536 |                           chromadb.utils.embedding_functions.bm25_embedding_function
import time:      8790 |       8790 |                             chromadb.utils.embedding_functions.utils
import time:     19431 |      28221 |                           chromadb.utils.embedding_functions.chroma_cloud_qwen_embedding_function
import time:      7316 |       7316 |                           chromadb.utils.embedding_functions.chroma_cloud_splade_embedding_function
import time:     13023 |      13023 |                             chromadb.utils.embedding_functions.schemas.bm25_tokenizer
import time:      8496 |      21518 |                           chromadb.utils.embedding_functions.chroma_bm25_embedding_function
import time:     14452 |    1032194 |                         chromadb.utils.embedding_functions
import time:     14074 |    1046267 |                       chromadb.api.collection_configuration
import time:     44761 |    1133017 |                     chromadb.types
import time:    214152 |    1347169 |                   chromadb.execution.expression.operator
import time:     24034 |      24034 |                   chromadb.execution.expression.plan
import time:     11603 |    1388286 |                 chromadb.execution.expression
import time:      5405 |       5405 |                   graphlib
import time:      5638 |       5638 |                           pydantic.v1.typing
import time:     18878 |      24515 |                         pydantic.v1.errors
import time:      5637 |       5637 |                             cython
import time:      3373 |       9009 |                           pydantic.v1.version
import time:     12968 |      21976 |                         pydantic.v1.utils
import time:      6856 |      53347 |                       pydantic.v1.class_validators
import time:     12857 |      12857 |                       pydantic.v1.config
import time:      7880 |       7880 |                           pydantic.v1.color
import time:     19373 |      19373 |                               pydantic.v1.datetime_parse
import time:      8606 |      27978 |                             pydantic.v1.validators
import time:      8615 |      36593 |                           pydantic.v1.networks
import time:     15186 |      15186 |                           pydantic.v1.types
import time:      5769 |      65427 |                         pydantic.v1.json
import time:      5977 |      71403 |                       pydantic.v1.error_wrappers
import time:     10532 |      10532 |                       pydantic.v1.fields
import time:      6124 |       6124 |                         pydantic.v1.parse
import time:      8229 |       8229 |                         pydantic.v1.schema
import time:     11139 |      25491 |                       pydantic.v1.main
import time:     17046 |     190674 |                     pydantic.v1.dataclasses
import time:      3667 |       3667 |                     pydantic.v1.annotated_types
import time:      5959 |       5959 |                     pydantic.v1.decorator
import time:      8531 |       8531 |                     pydantic.v1.env_settings
import time:      4577 |       4577 |                     pydantic.v1.tools
import time:      6268 |     219674 |                   pydantic.v1
import time:      1455 |       1455 |                   chromadb.is_thin_client
import time:     64840 |     291373 |                 chromadb.config
import time:     12041 |      12041 |                 chromadb.auth
import time:      3230 |       3230 |                   chromadb.api.models
import time:     13327 |      13327 |                   chromadb.api.models.CollectionCommon
import time:      6692 |       6692 |                   chromadb.api.functions
import time:     15140 |      38388 |                 chromadb.api.models.Collection
import time:      4471 |       4471 |                 chromadb.api.models.AttachedFunction
import time:      6518 |       6518 |                   chromadb.api.models.AsyncCollection
import time:    125448 |     131965 |                 chromadb.api.async_api
import time:    146137 |    2395355 |               chromadb.api
import time:      3943 |       3943 |                 chromadb.api.base_http_client
import time:      3942 |       3942 |                   chromadb.telemetry
import time:      9740 |      13681 |                 chromadb.telemetry.product
import time:      5527 |       5527 |                 chromadb.telemetry.product.events
import time:     16014 |      39163 |               chromadb.api.shared_system_client
import time:      6687 |       6687 |               chromadb.auth.utils
import time:    191059 |    2632263 |             chromadb.api.client
import time:    199778 |     199778 |             chromadb.api.async_client
import time:      7900 |       7900 |                 yaml.error
import time:      7192 |       7192 |                 yaml.tokens
import time:      4032 |       4032 |                 yaml.events
import time:      8971 |       8971 |                 yaml.nodes
import time:     30725 |      30725 |                   yaml.reader
import time:      4969 |       4969 |                   yaml.scanner
import time:      5544 |       5544 |                   yaml.parser
import time:      5586 |       5586 |                   yaml.composer
import time:      6442 |       6442 |                   yaml.constructor
import time:     16335 |      16335 |                   yaml.resolver
import time:      5386 |      74985 |                 yaml.loader
import time:      5829 |       5829 |                   yaml.emitter
import time:      4102 |       4102 |                   yaml.serializer
import time:      7304 |       7304 |                   yaml.representer
import time:      6642 |      23876 |                 yaml.dumper
import time:      5560 |       5560 |                   yaml._yaml
import time:      5124 |      10684 |                 yaml.cyaml
import time:      6412 |     144048 |               yaml
import time:      2958 |       2958 |                 opentelemetry
import time:      4332 |       4332 |                     opentelemetry.context.context
import time:      3086 |       3086 |                     opentelemetry.environment_variables
import time:      2334 |       2334 |                       opentelemetry.util
import time:     10233 |      10233 |                         importlib_metadata._meta
import time:      4575 |       4575 |                         importlib_metadata._collections
import time:      4978 |       4978 |                         importlib_metadata._compat
import time:      6181 |       6181 |                         importlib_metadata._functools
import time:      4153 |       4153 |                         importlib_metadata._itertools
import time:      2965 |       2965 |                         importlib_metadata._typing
import time:      5100 |       5100 |                         importlib_metadata.compat
import time:      6076 |       6076 |                         importlib_metadata.compat.py39
import time:      3262 |       3262 |                         importlib_metadata.compat.py311
import time:      8683 |      56203 |                       importlib_metadata
import time:      7032 |      65567 |                     opentelemetry.util._importlib_metadata
import time:      4439 |       4439 |                           zipp._functools
import time:      3772 |       3772 |                             zipp.compat
import time:      7848 |      11620 |                           zipp.compat.py310
import time:      2683 |       2683 |                             zipp.compat.py313
import time:      3777 |       6459 |                           zipp.glob
import time:      9308 |      31825 |                         zipp
import time:       216 |      32041 |                       zipp.compat
import time:      4834 |      36874 |                     zipp.compat.overlay
import time:    486444 |     596302 |                   opentelemetry.context
import time:      6630 |       6630 |                     opentelemetry.util.types
import time:      8051 |      14681 |                   opentelemetry.attributes
import time:      3838 |       3838 |                       opentelemetry.trace.status
import time:     14554 |      18391 |                     opentelemetry.trace.span
import time:      5336 |      23727 |                   opentelemetry.trace.propagation
import time:      6622 |       6622 |                   opentelemetry.util._decorator
import time:      3025 |       3025 |                   opentelemetry.util._once
import time:      3671 |       3671 |                   opentelemetry.util._providers
import time:     15795 |     663820 |                 opentelemetry.trace
import time:      1521 |       1521 |                   opentelemetry.sdk
import time:     13661 |      13661 |                   opentelemetry.sdk.environment_variables
import time:      4258 |       4258 |                     opentelemetry.semconv
import time:     17693 |      21951 |                   opentelemetry.semconv.resource
import time:      3142 |       3142 |                     importlib_metadata._text
import time:      4110 |       7252 |                   importlib_metadata._adapters
import time:     19635 |      64018 |                 opentelemetry.sdk.resources
import time:      4729 |       4729 |                   opentelemetry.sdk.util
import time:     12983 |      12983 |                   opentelemetry.sdk.trace.sampling
import time:      5368 |       5368 |                   opentelemetry.sdk.trace.id_generator
import time:      6940 |       6940 |                   opentelemetry.sdk.util.instrumentation
import time:      3099 |       3099 |                     opentelemetry.semconv.attributes
import time:      5231 |       8329 |                   opentelemetry.semconv.attributes.exception_attributes
import time:     14237 |      52583 |                 opentelemetry.sdk.trace
import time:      8619 |       8619 |                   opentelemetry.sdk._shared_internal
import time:    247820 |     256439 |                 opentelemetry.sdk.trace.export
import time:      2211 |       2211 |                         opentelemetry.exporter
import time:      4566 |       6776 |                       opentelemetry.exporter.otlp
import time:      2737 |       9512 |                     opentelemetry.exporter.otlp.proto
import time:      5713 |       5713 |                     opentelemetry.exporter.otlp.proto.grpc.version
import time:      4156 |      19380 |                   opentelemetry.exporter.otlp.proto.grpc
import time:      5392 |       5392 |                       grpc._cython
import time:      9552 |       9552 |                           grpc._typing
import time:      8596 |      18148 |                         grpc._observability
import time:      5427 |       5427 |                         pkgutil
import time:     34170 |      57743 |                       grpc._cython.cygrpc
import time:      6585 |      69720 |                     grpc._compression
import time:      7147 |       7147 |                     grpc._runtime_protos
import time:      3466 |       3466 |                     grpc._grpcio_metadata
import time:      3404 |       3404 |                     grpc_tools
import time:      3575 |       3575 |                     grpc_health
import time:      1832 |       1832 |                     grpc_reflection
import time:      7845 |       7845 |                         grpc.aio._metadata
import time:      5464 |       5464 |                         grpc.aio._typing
import time:     13870 |      27178 |                       grpc.aio._base_call
import time:      6051 |       6051 |                       grpc.aio._base_channel
import time:      5988 |       5988 |                       grpc.aio._base_server
import time:      4121 |       4121 |                         grpc._common
import time:     11852 |      15972 |                       grpc.aio._call
import time:      3552 |       3552 |                           grpc.aio._utils
import time:     13913 |      17464 |                         grpc.aio._interceptor
import time:      8559 |      26022 |                       grpc.aio._channel
import time:      4844 |       4844 |                       grpc.aio._server
import time:      4771 |      90824 |                     grpc.aio
import time:     12337 |     192301 |                   grpc
import time:      4501 |       4501 |                       opentelemetry.exporter.otlp.proto.common.version
import time:      6636 |      11136 |                     opentelemetry.exporter.otlp.proto.common
import time:      6207 |       6207 |                               opentelemetry.proto
import time:      3716 |       9922 |                             opentelemetry.proto.common
import time:      5846 |      15767 |                           opentelemetry.proto.common.v1
import time:      6792 |       6792 |                           google.protobuf
import time:      3312 |       3312 |                             google.protobuf.internal
import time:       812 |        812 |                               google.protobuf.internal._api_implementation
import time:      6187 |       6187 |                               google.protobuf.message
import time:      6484 |       6484 |                               google.protobuf.internal.enum_type_wrapper
import time:       645 |        645 |                               google.protobuf.enable_deterministic_proto_serialization
import time:     18302 |      32428 |                             google.protobuf.internal.api_implementation
import time:     10076 |      45815 |                           google.protobuf.descriptor
import time:      6236 |       6236 |                             google.protobuf.descriptor_database
import time:      6531 |       6531 |                             google.protobuf.text_encoding
import time:      7748 |       7748 |                             google.protobuf.internal.python_edition_defaults
import time:      8934 |       8934 |                                 encodings.raw_unicode_escape
import time:      9892 |       9892 |                                 encodings.unicode_escape
import time:     21789 |      21789 |                                   google.protobuf.internal.containers
import time:      8743 |       8743 |                                     google.protobuf.internal.wire_format
import time:      8246 |      16988 |                                   google.protobuf.internal.encoder
import time:      9445 |      48221 |                                 google.protobuf.internal.decoder
import time:     13064 |      13064 |                                 google.protobuf.internal.type_checkers
import time:      7917 |       7917 |                                 google.protobuf.unknown_fields
import time:     24832 |     112859 |                               google.protobuf.text_format
import time:      4731 |       4731 |                               google.protobuf.internal.extension_dict
import time:     14629 |      14629 |                               google.protobuf.internal.message_listener
import time:      8656 |       8656 |                                 google.protobuf.internal.field_mask
import time:      9682 |      18337 |                               google.protobuf.internal.well_known_types
import time:     10611 |     161164 |                             google.protobuf.internal.python_message
import time:      7382 |     189059 |                           google.protobuf.descriptor_pool
import time:      4987 |       4987 |                               google.protobuf.pyext
import time:      8127 |       8127 |                               google.protobuf.pyext.cpp_message
import time:      4586 |      17700 |                             google.protobuf.message_factory
import time:      7277 |      24976 |                           google.protobuf.symbol_database
import time:      5174 |       5174 |                             google.protobuf.reflection
import time:      4257 |       9430 |                           google.protobuf.internal.builder
import time:      8972 |     300808 |                         opentelemetry.proto.common.v1.common_pb2
import time:      6498 |       6498 |                             opentelemetry.proto.resource
import time:      5292 |      11789 |                           opentelemetry.proto.resource.v1
import time:      9708 |      21497 |                         opentelemetry.proto.resource.v1.resource_pb2
import time:      6386 |     328690 |                       opentelemetry.exporter.otlp.proto.common._internal
import time:      6333 |       6333 |                             opentelemetry.proto.collector
import time:      8705 |      15038 |                           opentelemetry.proto.collector.trace
import time:      9584 |      24621 |                         opentelemetry.proto.collector.trace.v1
import time:      5897 |       5897 |                           opentelemetry.proto.trace
import time:      6820 |      12716 |                         opentelemetry.proto.trace.v1
import time:      6787 |       6787 |                         opentelemetry.proto.trace.v1.trace_pb2
import time:      6354 |      50478 |                       opentelemetry.proto.collector.trace.v1.trace_service_pb2
import time:     14103 |     393270 |                     opentelemetry.exporter.otlp.proto.common._internal.trace_encoder
import time:      3111 |     407516 |                   opentelemetry.exporter.otlp.proto.common.trace_encoder
import time:      1489 |       1489 |                       google.rpc
import time:      8785 |       8785 |                         google.protobuf.runtime_version
import time:      6918 |      15703 |                       google.protobuf.duration_pb2
import time:     17838 |      35028 |                     google.rpc.error_details_pb2
import time:      5670 |       5670 |                                 opentelemetry.metrics._internal.observation
import time:     27332 |      33002 |                               opentelemetry.metrics._internal.instrument
import time:     13034 |      46036 |                             opentelemetry.metrics._internal
import time:      3316 |      49352 |                           opentelemetry.metrics
import time:      3889 |       3889 |                           opentelemetry.sdk.metrics._internal.exceptions
import time:     11990 |      11990 |                             opentelemetry.sdk.metrics._internal.exemplar.exemplar
import time:      6685 |       6685 |                             opentelemetry.sdk.metrics._internal.exemplar.exemplar_filter
import time:      7371 |       7371 |                             opentelemetry.sdk.metrics._internal.exemplar.exemplar_reservoir
import time:      5580 |      31625 |                           opentelemetry.sdk.metrics._internal.exemplar
import time:     10571 |      10571 |                             opentelemetry.sdk.metrics._internal.measurement
import time:      5143 |      15714 |                           opentelemetry.sdk.metrics._internal.instrument
import time:     11772 |      11772 |                             opentelemetry.sdk.metrics._internal.sdk_configuration
import time:      4084 |       4084 |                                     opentelemetry.sdk.metrics._internal.exponential_histogram
import time:      6630 |      10714 |                                   opentelemetry.sdk.metrics._internal.exponential_histogram.buckets
import time:      6662 |       6662 |                                   opentelemetry.sdk.metrics._internal.exponential_histogram.mapping
import time:      5358 |       5358 |                                     opentelemetry.sdk.metrics._internal.exponential_histogram.mapping.errors
import time:      5743 |       5743 |                                     opentelemetry.sdk.metrics._internal.exponential_histogram.mapping.ieee_754
import time:      5476 |      16576 |                                   opentelemetry.sdk.metrics._internal.exponential_histogram.mapping.exponent_mapping
import time:      4470 |       4470 |                                   opentelemetry.sdk.metrics._internal.exponential_histogram.mapping.logarithm_mapping
import time:     63885 |      63885 |                                   opentelemetry.sdk.metrics._internal.point
import time:     11154 |     113458 |                                 opentelemetry.sdk.metrics._internal.aggregation
import time:      8984 |       8984 |                                 opentelemetry.sdk.metrics._internal.export
import time:      5777 |       5777 |                                 opentelemetry.sdk.metrics._internal.view
import time:      5515 |     133732 |                               opentelemetry.sdk.metrics._internal._view_instrument_match
import time:      4281 |     138012 |                             opentelemetry.sdk.metrics._internal.metric_reader_storage
import time:      4543 |     154326 |                           opentelemetry.sdk.metrics._internal.measurement_consumer
import time:      9895 |     264799 |                         opentelemetry.sdk.metrics._internal
import time:      5921 |     270720 |                       opentelemetry.sdk.metrics
import time:      6538 |     277257 |                     opentelemetry.sdk.metrics.export
import time:      4975 |       4975 |                     opentelemetry.util.re
import time:      6810 |     324069 |                   opentelemetry.exporter.otlp.proto.grpc.exporter
import time:      7634 |       7634 |                     grpc._utilities
import time:      5074 |      12708 |                   opentelemetry.proto.collector.trace.v1.trace_service_pb2_grpc
import time:      6945 |     962916 |                 opentelemetry.exporter.otlp.proto.grpc.trace_exporter
import time:      9774 |    2012506 |               chromadb.telemetry.opentelemetry
import time:     19889 |    2176442 |             chromadb.auth.token_authn
import time:       805 |        805 |             google.colab
import time:      1228 |       1228 |             chromadb.is_thin_client
import time:     15054 |      15054 |                 _sqlite3
import time:      4880 |      19934 |               sqlite3.dbapi2
import time:      6326 |      26260 |             sqlite3
import time:     14157 |    5050929 |           chromadb
import time:      4757 |    5055686 |         ai.memory.vector_store
import time:      9833 |    5065519 |       ai.memory.ham_memory.ham_vector_store_manager
